location,date,gdp_per_capita,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,average_stringency_index,average_containment_index
Latvia,2020-07-20,25.063846,0,0,51.63832167832175,50.13643356643369
Germany,2020-07-20,45.229245,0,0,57.25012738853513,54.015923566878946
Luxembourg,2020-07-20,94.277965,0,0,50.13783783783781,48.77000000000018
Croatia,2020-07-20,22.669797,0,0,63.84571428571427,60.43993197278912
Slovenia,2020-07-20,31.40084,0,0,50.10700636942688,49.72121019108273
Estonia,2020-07-20,29.481252,0,0,45.02872611464966,37.88484076433126
Spain,2020-07-20,34.27236,0,0,60.6573885350319,50.63859872611464
Belgium,2020-07-20,42.658576,0,0,58.975095541401345,52.37267515923559
Netherlands,2020-07-20,48.472545,0,0,61.071862068965615,53.75131034482767
Greece,2020-07-20,24.574382,0,0,62.378698630137094,54.03547945205484
Austria,2020-07-20,45.436686,0,0,56.01476190476197,54.00795918367351
Ireland,2020-07-20,67.335293,0,0,67.26097902097905,56.4774825174825
Finland,2020-07-20,40.585721,0,0,48.71528662420375,42.34063694267512
Romania,2020-07-20,23.313199,0,0,62.12636986301369,49.86232876712335
Portugal,2020-07-20,27.936896,0,0,65.38281690140833,58.87316901408442
Cyprus,2020-07-20,32.415132,0,0,72.9798507462687,61.72597014925367
Sweden,2020-07-20,46.949283,0,0,51.97407643312113,46.514649681528674
Italy,2020-07-20,35.220084,0,0,73.30127388535044,69.21859872611488
Lithuania,2020-07-20,29.524265,0,0,61.38887096774207,58.08032258064527
Malta,2020-07-20,36.513323,0,0,64.52630434782608,64.88623188405792
Slovakia,2020-07-20,30.155152,0,0,60.118905109489134,60.362043795620494
Poland,2020-07-20,27.216445,0,0,64.20129496402882,54.52935251798573
Hungary,2020-07-20,26.777561,0,0,59.820499999999925,54.9466428571429
Denmark,2020-07-20,46.682515,0,0,55.48579617834392,48.39923566878984
France,2020-07-20,38.605671,0,0,65.42980891719749,57.20254777070067
Czechia,2020-07-20,32.605906,0,0,51.05908450704232,53.53049295774647
Bulgaria,2020-07-20,18.563307,0,0,56.393333333333274,47.90096296296301